FirstName,LastName,Proteges
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
Cheryl,Cole,10
Dannii,Minogue,13
Gary,Barlow,6
Kelly,Rowland,4
Louis,Walsh,30
Sharon,Schezinger,3
Nicole,Osbourne,13
Sharon,Cowell,24
Simon,Osbourne,5
Tulisa,Contostavious,99
